name,province,city,address,phone_number,website
کتابخانه امام رضا (ع) (آستان قدس رضوی),خراسان رضوی,سبزوار,بلوار شهدای هسته ای - جنب پارک شهدای گمنام - مجتمع فرهنگی و کتابخانه امام رضا (ع) سبزوار,44670172-051 ( داخلی 051-44670173 ),https://library.razavi.ir/aqlibraries
كتابخانه عمومی دكتر علی شريعتی,خراسان رضوی,سبزوار,سبزوار - ميدان ارشاد (نقابشك)‌ - ابتدای خيابان كاشفی جنوبى.,44443200-051 ( داخلی  ),http://mashadpl.ir
کتابخانه مرکزی و مرکز اطلاع رسانی دانشگاه حکیم سبزواری,خراسان رضوی,سبزوار,سبزوار - بالاتر از توحید شهر - پردیس دانشگاه حكیم سبزواری - کتابخانه مرکزی.,44012672-051 ( داخلی  ),http://hsu.ac.ir/lib
