name,province,city,address,phone_number,website
كتابخانه عمومی الغدير,اصفهان,خميني شهر,خمینی شهر – میدان امام حسین (ع) - ابتدای خیابان شیخ صدوق (ره) - جنب شهرداری منطقه 2 .,33633053-031 ( داخلی  ),http://isfahanpl.ir
كتابخانه مدرسه علمیه خواهران الزهراء (س),اصفهان,خميني شهر,خمینی شهر - خیابان شریعتی جنوبی - كوچه پنچشنبه بازار.,1-33677910-031 ( داخلی  ),http://lib.whc.ir
كتابخانه مدرسه علمیه خواهران حضرت زهرا (س),اصفهان,خميني شهر,خمینی شهر - میدان 22 بهمن - بلوار توحید - بن بست شماره 13.,4-33632851-031 ( داخلی  ),http://lib.whc.ir
كتابخانه مدرسه علمیه خواهران فاطمة الزهراء (س),اصفهان,خميني شهر,خمینی شهر - میدان آزادی - خیابان آیت الله جبل عاملی - كوچه گلشن - شماره 24 .,33640250-031 ( داخلی  ),http://lib.whc.ir
کتابخانه مدرسه علمیه خواهران فاطمیه (س) خمینی شهر,اصفهان,خميني شهر,خمینی شهر- میدان شهدا- خیابان مدرس- كوچه فاطمیه,03133677295 ( داخلی  ),http://
