name,province,city,address,phone_number,website,url
كتابخانه عمومی شماره یك كازرون,فارس,كازرون,كازرون - خیابان ارشاد.,42223059-071 ( داخلی  ),http://farspl.ir,https://lib.ir/fa/library/228/كتابخانه-عمومی-شماره-یك-كازرون/search/
کتابخانه مدرسه علمیه خواهران الزهراء (س) کازرون,فارس,كازرون,کازرون- بلوارعلامه دوانی- ابتدای خیابان دوانی,07142221229 ( داخلی  ),http://,https://lib.ir/fa/library/720/کتابخانه-مدرسه-علمیه-خواهران-الزهراء-س-کازرون/search/
کتابخانه و مرکز اطلاع رسانی آیت الله ایمانی دانشگاه سلمان فارسی,فارس,كازرون,کازرون- خیابان آیت الله طالقانی - دانشگاه سلمان فارسی,42226051-071 ( داخلی 177 ),http://kazerunsfu.ac.ir,https://lib.ir/fa/library/606/کتابخانه-و-مرکز-اطلاع-رسانی-آیت-الله-ایمانی-دانشگاه-سلمان-فارسی/search/
