name,province,city,address,phone_number,website
كتابخانه عمومی امام محمد باقر (ع),لرستان,اليگودرز,الیگودرز - خیابان امام خمبنی (ره)- خیابان طالقانی جنوبی - پارك شهر.,43320028-066 ( داخلی  ),http://lorestanpl.ir
کتابخانه مدرسه علمیه فاطمیه (س) الیگودرز,لرستان,اليگودرز,الیگودرز- شهرك الغدیر- روبروی ترمینال شهرستان,06643331460 ( داخلی  ),http://
