name,province,city,address,phone_number,website,url
كتابخانه پژوهشگاه معلم اداره كل آموزش و پرورش استان مركزی,مرکزی,اراک,اراك - خیابان قائم مقام فراهانی - میدان ارك - روبروی نیروی انتظامی - پژوهشكاه معلم.,32220010-086 ( داخلی  ),http://cms.medu.ir,https://lib.ir/fa/library/394/كتابخانه-پژوهشگاه-معلم-اداره-كل-آموزش-و-پرورش-استان-مركزی/search/
كتابخانه مدرسه علمیه خواهران الزهراء (س),مرکزی,اراک,اراك - خیابان امام خمینی(ره)- پشت كانون بسیج جوانان- خیابان شورا- سه راه ابوذر- مقابل شركت- حوزه علمیه الزهرا(س),32247910-086 ( داخلی  ),http://,https://lib.ir/fa/library/342/كتابخانه-مدرسه-علمیه-خواهران-الزهراء-س/search/
کتابخانه مدرسه علمیه خواهران فاطمة الزهرا (س) اراک,مرکزی,اراک,اراك- شهر صنعتی- میدان بنفشه- کانون امام جعفر صادق(ع),08633123554 ( داخلی  ),http://,https://lib.ir/fa/library/673/کتابخانه-مدرسه-علمیه-خواهران-فاطمة-الزهرا-س-اراک/search/
کتابخانه مرکزی و مرکز اسناد دانشگاه اراک,مرکزی,اراک,اراک بلوار کربلا دانشگاه اراک,08632622404 ( داخلی 2404 ),http://www.digilib.araku.ac.ir,https://lib.ir/fa/library/445/کتابخانه-مرکزی-و-مرکز-اسناد-دانشگاه-اراک/search/
