name,province,city,address,phone_number,website,url
کتابخانه امام خمینی (ره) (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان ۱۷ شهريور - خيابان خشكبار چي - بوستان خيام.,333303843-021 ( داخلی  ),http://tlib.ir,https://lib.ir/fa/library/609/کتابخانه-امام-خمینی-ره--کتابخانه-های-سازمان-فرهنگی-هنری-شهرداری-تهران/search/
کتابخانه امام رضا (ع) (آستان قدس رضوی),خراسان رضوی,سبزوار,بلوار شهدای هسته ای - جنب پارک شهدای گمنام - مجتمع فرهنگی و کتابخانه امام رضا (ع) سبزوار,44670172-051 ( داخلی 051-44670173 ),https://library.razavi.ir/aqlibraries,https://lib.ir/fa/library/516/کتابخانه-امام-رضا-ع--آستان-قدس-رضوی/search/
كتابخانه امام رضا (ع) (آستان قدس رضوی),خراسان رضوی,روشناوند گناباد,شهرستان گناباد - شهر روشناوند - بلوار امام رضا (ع) - حسینیه و کتابخانه امام رضا (ع),57473070-051 ( داخلی  ),https://library.razavi.ir/aqlibraries,https://lib.ir/fa/library/173/كتابخانه-امام-رضا-ع--آستان-قدس-رضوی/search/
كتابخانه امام رضا (ع) (آستان قدس رضوی),خراسان جنوبی,بيرجند,بيرجند - خیابان معلم - میدان مادر - جنب باغ اکبریه,32421325-056 ( داخلی 056-32446820 ),https://library.razavi.ir/aqlibraries,https://lib.ir/fa/library/175/كتابخانه-امام-رضا-ع--آستان-قدس-رضوی/search/
كتابخانه امام رضا (ع)  (آستان قدس رضوی ع),یزد,طبس,طبس - روستاي محمدآباد - كتابخانه حضرت امام رضا عليه السلام.,32867316-056 ( داخلی  ),http://,https://lib.ir/fa/library/176/كتابخانه-امام-رضا-ع--آستان-قدس-رضوی-ع/search/
كتابخانه امام رضا (ع) (آستان قدس رضوی ع),خراسان رضوی,قوچان,قوچان - بلوار مصلی - مجتمع فرهنگی و کتابخانه امام رضا (ع),05147234700 ( داخلی  ),https://library.razavi.ir/aqlibraries,https://lib.ir/fa/library/174/كتابخانه-امام-رضا-ع--آستان-قدس-رضوی-ع/search/
كتابخانه امام رضا (ع) (آستان قدس رضوی ع),خراسان جنوبی,قائن,قاین - بلوار بسیج - روبروی گلزار شهداء - کتابخانه امام رضا (ع).,32526006-056 ( داخلی  ),http://qlib.ugig.ir,https://lib.ir/fa/library/170/كتابخانه-امام-رضا-ع--آستان-قدس-رضوی-ع/search/
كتابخانه امام رضا (ع) (آستان قدس رضوی ع),کرمان,امین شهر,رفسنجان - امين شهر (حسين آباد انار).,( داخلی  ),http://aqlibrary.org,https://lib.ir/fa/library/171/كتابخانه-امام-رضا-ع--آستان-قدس-رضوی-ع/search/
كتابخانه امام رضا  (ع) (آستان قدس رضوی ع),خراسان رضوی,سرخس,سرخس - بلوار سردار سلیمانی – روبروی شرکت برق,34527771-051 ( داخلی  ),https://library.razavi.ir/aqlibraries,https://lib.ir/fa/library/172/كتابخانه-امام-رضا--ع--آستان-قدس-رضوی-ع/search/
كتابخانه امام رضا (ع) (آستان قدس رضوی ع),کرمان,كرمان,كرمان - بلوار هوشنگ مرادي كرمانى - پشت هتل پارس.,32118485-034 ( داخلی  ),http://aqlibrary.org,https://lib.ir/fa/library/157/كتابخانه-امام-رضا-ع--آستان-قدس-رضوی-ع/search/
كتابخانه امام رضا (ع) (آستان قدس رضوی ع),خراسان رضوی,درگز,درگز - خیابان امام خمینی (ره) - نبش كوچه شماره 27.,46231115-051 ( داخلی  ),http://aqlibrary.org,https://lib.ir/fa/library/377/كتابخانه-امام-رضا-ع--آستان-قدس-رضوی-ع/search/
کتابخانه امام رضا (ع) (آستان قدس رضوی ع),خراسان رضوی,تربت حیدریه,شهرک ولیعصر – بلوار دکتر چمران – جنب بوستان مینو,051-52290335 ( داخلی 52290334 - 051 ),https://library.razavi.ir/aqlibraries,https://lib.ir/fa/library/514/کتابخانه-امام-رضا-ع--آستان-قدس-رضوی-ع/search/
کتابخانه امام رضا علیه السلام (آستان قدس رضوی ع),خراسان رضوی,گناباد,گناباد-خیابان حافظ، نبش حافظ20 پلاک188,05157263292 ( داخلی 05157263272 ),https://library.razavi.ir/aqlibraries,https://lib.ir/fa/library/741/کتابخانه-امام-رضا-علیه-السلام-آستان-قدس-رضوی-ع/search/
کتابخانه امام رضا(ع) بروجرد (آستان قدس رضوی ع),لرستان,بروجرد,بروجرد-خیابان 18متری-کوچه شهید اصغر پور,066،42629770 ( داخلی  ),http://,https://lib.ir/fa/library/782/کتابخانه-امام-رضا-ع-بروجرد-آستان-قدس-رضوی-ع/search/
