name,province,city,address,phone_number,website,url
كتابخانه الغدير یزد (مؤسسه فرهنگی تحقيقاتی اخوان دستمالچی),یزد,يزد,يزد - ميدان دروازه قرآن - مؤسسه فرهنگی تحقيقاتی اخوان دستمالچى,03535238233 ( داخلی 212 ),http://ghadir-edu.com,https://lib.ir/fa/library/112/كتابخانه-الغدير-یزد-مؤسسه-فرهنگی-تحقيقاتی-اخوان-دستمالچی/search/
كتابخانه آيت ‌الله وزيری (آستان قدس رضوی ع),یزد,يزد,يزد - خيابان امام - خيابان مسجد جامع - كتابخانه وزيري يزد.,36264554-035 ( داخلی  ),http://aqlibrary.org/libraries/lib28.aspx,https://lib.ir/fa/library/145/كتابخانه-آيت-الله-وزيری-آستان-قدس-رضوی-ع/search/
کتابخانه تخصصی تفسیر و علوم قرآنی,یزد,يزد,بلوار مدرس- اکرمیه – خیابان دانش شرقی,03538265513 ( داخلی  ),http://Logii.ir,https://lib.ir/fa/library/766/کتابخانه-تخصصی-تفسیر-و-علوم-قرآنی/search/
كتابخانه مدرسه علمیه خواهران حضرت زینب (س),یزد,يزد,یزد - میدان حضرت ابوالفضل - بلوار آزادگان - اولین بریدگی - کوچه شهید موحدین.,37230881-035 ( داخلی  ),http://,https://lib.ir/fa/library/363/كتابخانه-مدرسه-علمیه-خواهران-حضرت-زینب-س/search/
كتابخانه مروج (آستان قدس رضوی ع),یزد,يزد,يزد - خيابان شهيد چمران - كتابخانه مروج.,36231112-035 ( داخلی  ),http://aqlibrary.org/libraries/lib29.aspx,https://lib.ir/fa/library/146/كتابخانه-مروج-آستان-قدس-رضوی-ع/search/
کتابخانه موسسه آموزش عالی حوزوی امام حسین علیه السلام,یزد,يزد,یزد - بلوار جمهوری - کوچه چهارباغ - چهار راه اول - سمت راست,03535280020 ( داخلی 3 ),http://,https://lib.ir/fa/library/553/کتابخانه-موسسه-آموزش-عالی-حوزوی-امام-حسین-علیه-السلام/search/
كتابخانه و پژوهشكده تخصصي قرآن و عترت (مهد قرآن حضرت جواد الائمه (ع)),یزد,يزد,يزد -چهارراه بعثت –ابتداي خيابان سيد گلسرخ –كوچه ششم –ساختمان شماره 70 موسسه مهد قرآن حضرت جواد الائمه(ع).,36265653-36267536-36264313-36224093-035 ( داخلی  ),http://Ketabmahdquran.blogfa.com,https://lib.ir/fa/library/551/كتابخانه-و-پژوهشكده-تخصصي-قرآن-و-عترت-مهد-قرآن-حضرت-جواد-الائمه-ع/search/
