name,province,city,address,phone_number,website
كتابخانه عمومی امام رضا (ع),گلستان,علی آباد كتول,علی آباد كتول - خيابان امام رضا(ع) ،بانك سپه مركزى.,34222600-017 ( داخلی  ),http://emamreza-aliabad.blogfa.com
کتابخانه مدرسه علمیه خواهران شهیده بنت الهدی صدر علی آباد کتول,گلستان,علی آباد كتول,علی آبادکتول- خیابان خضر- كوی مطهر,01734222835 ( داخلی  ),http://
