name,province,city,address,phone_number,website,url
کتابخانه ۱۳ آبان (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,شهر رى,شهرري - خيابان شهيدرجائي - شهرك ۱۳آبان - خيابان شهيد مولايي جنوبي - كوچه شهيد عطري - جنب مسجد سيدالشهداء (ع).,55525577-021 ( داخلی  ),http://tlib.ir,https://lib.ir/fa/library/573/کتابخانه-۱۳-آبان-کتابخانه-های-سازمان-فرهنگی-هنری-شهرداری-تهران/search/
كتابخانه آستان حضرت عبدالعظيم حسنى (ع),تهران,شهر رى,شهرری – آستان مقدس حضرت عبدالعظیم (ع) - بست شمالی (درب شماره 9) - كتابخانه مركزی آستان مقدّس حضرت عبد العظیم (ع).,021-51223350-021  كتابخانه برادران:2-51223362-كتابخانه خواهران:3 ( داخلی  ),http://abdolazim.com,https://lib.ir/fa/library/295/كتابخانه-آستان-حضرت-عبدالعظيم-حسنى-ع/search/
کتابخانه دانشگاه قرآن و حديث (پردیس تهران),تهران,شهر رى,تهران ـ شهر ری ـ ضلع جنوبی حرم مطهر حضرت عبدالعظیم حسنی (ع) ـ دانشگاه قرآن و حدیث پردیس تهران,55952526-55952525-55952524-021 ( داخلی  ),http://qhu.ac.ir,https://lib.ir/fa/library/102/کتابخانه-دانشگاه-قرآن-و-حديث-پردیس-تهران/search/
كتابخانه مدرسه علمیه خواهران الزهراء (س),تهران,شهر رى,شهر ری - خیابان قم - بالاتر از فرمانداری - جنب بهزیستی.,55909694-021 ( داخلی  ),http://lib.whc.ir,https://lib.ir/fa/library/459/كتابخانه-مدرسه-علمیه-خواهران-الزهراء-س/search/
كتابخانه مدرسه علمیه خواهران حضرت عبدالعظیم (ع),تهران,شهر رى,تهران - میدان مدرس - انتهای خیابان هلال احمر - ضلع جنوبی حرم مطهر حضرت عبدالعظیم(ع).,51223325-021 ( داخلی  ),http://lib.whc.ir,https://lib.ir/fa/library/464/كتابخانه-مدرسه-علمیه-خواهران-حضرت-عبدالعظیم-ع/search/
