name,province,city,address,phone_number,website,url
كتابخانه عمومی پارك شهر مرند,آذربایجان شرقی,مرند,مرند- بلوار شهيد كسايي - پارك شهر مرند.,42238899-041 ( داخلی  ),http://tabrizpl.ir,https://lib.ir/fa/library/309/كتابخانه-عمومی-پارك-شهر-مرند/search/
كتابخانه عمومی هرزند جديد,آذربایجان شرقی,مرند,مرند - روستاي هرزند جديد - ميدان امام حسين جنب بانك صادرات.,42373197-041 ( داخلی  ),http://tabrizpl.ir,https://lib.ir/fa/library/312/كتابخانه-عمومی-هرزند-جديد/search/
كتابخانه عمومی كوثر مرند,آذربایجان شرقی,مرند,مرند -  خيابان امام خميني (ره) - روبروي بانك كشاورزى.,42260144-041 ( داخلی  ),http://.tabrizpl.ir,https://lib.ir/fa/library/276/كتابخانه-عمومی-كوثر-مرند/search/
كتابخانه عمومی يامچى,آذربایجان شرقی,مرند,مرند –  يامچي - بلوار ولايت - خيابان طالقاني - جنب مدرسه درخشان.,42163020-041 ( داخلی  ),http://tabrizpl.ir,https://lib.ir/fa/library/323/كتابخانه-عمومی-يامچى/search/
كتابخانه عمومی یكانكهریز,آذربایجان شرقی,مرند,روستاي يكان كهريز - خیابان اصلی - روبروي بهداشت.,42166393-041 ( داخلی  ),http://,https://lib.ir/fa/library/311/كتابخانه-عمومی-یكانكهریز/search/
کتابخانه مدرسه علمیه خواهران فاطمه الزهراء (س) مرند,آذربایجان شرقی,مرند,مرند- شهرك میلاد- مدرسه علمیه فاطمه الزهرا(س),04142284044 ( داخلی  ),http://,https://lib.ir/fa/library/669/کتابخانه-مدرسه-علمیه-خواهران-فاطمه-الزهراء-س-مرند/search/
