Library Name,Province,City,Address                                                             ,Phone No.,Website
كتابخانه عمومی خواجه نصیر,آذربایجان شرقی,مراغه,مراغه - شهرك ولي عصر - خيابان پروين اعتصامي - كوي مهديه .,37410888-041 ( داخلی  ),http://tabrizpl.ir
كتابخانه عمومی مراغه,آذربایجان شرقی,مراغه,مراغه -  ميدان پاسداران - ابتداي خيابان معلم شمالى.,37228777-041 ( داخلی  ),http://tabrizpl.ir
