name,province,city,address,phone_number,website,url
كتابخانه دانشگاه علوم پزشكی جندی شاپور,خوزستان,اهواز,اهواز - شهر دانشگاهي -  دانشگاه علوم پزشكی جندی شاپور - ساختمان كتابخانه مركزی – طبقه اول.,33330250-061 ( داخلی  ),http://centrallib.ajums.ac.ir,https://lib.ir/fa/library/280/كتابخانه-دانشگاه-علوم-پزشكی-جندی-شاپور/search/
كتابخانه مركزی دانشكده نفت اهواز,خوزستان,اهواز,اهواز - كوت عبدالله - انتهاي بزرگراه آيت ‌الله بهبهاني - ابتداي جاده آبادان.,35551059-061 ( داخلی  ),http://put.ac.ir,https://lib.ir/fa/library/263/كتابخانه-مركزی-دانشكده-نفت-اهواز/search/
كتابخانه مركزی و مركز اسناد دانشگاه شهيد چمران,خوزستان,اهواز,اهواز- بلوار گلستان - فلكه دانشگاه - دانشگاه شهيد چمران.,33360244-061 ( داخلی  ),http://libscu.ac.ir,https://lib.ir/fa/library/285/كتابخانه-مركزی-و-مركز-اسناد-دانشگاه-شهيد-چمران/search/
