Library Name,Province,City,Address                                                             ,Phone No.,Website
كتابخانه عمومی امام خميني (ره),اصفهان,بهارستان,شهر جديد بهارستان - انتهاي بلوار بهشت - نرسيده به گلزار شهدا.,36800140-031 ( داخلی  ),http://isfahanpl.ir
كتابخانه عمومی بهارستان,اصفهان,بهارستان,شهر بهارستان - جنب دانشگاه شیخ بهایی - كتابخانه عمومی بهارستان.,36812520-031 ( داخلی  ),http://isfahanpl.ir
