name,province,city,address,phone_number,website,url
کتابخانه مدرسه علمیه خواهران عصمتیه سمنان,سمنان,سمنان,سمنان- شهرك مدیران- بالاتر از میدان پدران آسمانی- تقاطع چهار فصل,02333433412 ( داخلی  ),http://,https://lib.ir/fa/library/723/کتابخانه-مدرسه-علمیه-خواهران-عصمتیه-سمنان/search/
کتابخانه مرکزي و مرکز اسناد دانشگاه سمنان,سمنان,سمنان,روبروي پارك سوکان – پردیس شماره یک دانشگاه سمنان – کتابخانه مرکزي و مرکز اسناد,( داخلی 02331535134 ),http://Https://Lib.semnan.ac.ir,https://lib.ir/fa/library/198/کتابخانه-مرکزي-و-مرکز-اسناد-دانشگاه-سمنان/search/
کتابخانه معلم دانشگاه فرهنگیان پردیس الزهرا (س) سمنان,سمنان,سمنان,سمنان - نبش میدان ارگ - دانشگاه فرهنگیان- پردیس الزهرا (س) سمنان (خواهران),33361709-023 ( داخلی 29 ),http://pas.te.cfu.ac.ir,https://lib.ir/fa/library/775/کتابخانه-معلم-دانشگاه-فرهنگیان-پردیس-الزهرا-س-سمنان/search/
