name,province,city,address,phone_number,website,url
كتابخانه عبد الله خفیف,فارس,شیراز,شیراز - انتهای خیابان آیت الله طالقانی - جنب پاركینگ.,32228083-071 ( داخلی  ),http://khafif.parsiblog,https://lib.ir/fa/library/436/كتابخانه-عبد-الله-خفیف/search/
كتابخانه عمومی ابوريحان بيرونى,فارس,شیراز,شیراز - خیابان كارگر - پشت درمانگاه بقیة الله.,37384738-071 ( داخلی  ),http://farspl.ir,https://lib.ir/fa/library/226/كتابخانه-عمومی-ابوريحان-بيرونى/search/
كتابخانه عمومی خرامه,فارس,شیراز,خرامه - بلوار اصلی - جنب سپاه پاسداران.,32722640-071 ( داخلی  ),http://farspl.ir,https://lib.ir/fa/library/229/كتابخانه-عمومی-خرامه/search/
كتابخانه عمومی سعدى,فارس,شیراز,شیراز ، خ بوستان.,37300071-071 ( داخلی  ),http://farspl.ir,https://lib.ir/fa/library/232/كتابخانه-عمومی-سعدى/search/
کتابخانه مدرسه علمیه خواهران الزهراء (س) شیراز,فارس,شیراز,شیراز- خیابان قاآنی شمالی- روبروی بانك تجارت,07137393443 ( داخلی  ),http://,https://lib.ir/fa/library/721/کتابخانه-مدرسه-علمیه-خواهران-الزهراء-س-شیراز/search/
كتابخانه مدرسه علمیه خواهران فاطمة الزهراء (س),فارس,شیراز,شیراز - بلوار مدرس - بلوار فضیلت جنوبی - نرسیده به چهار را فضیلت - سمت راست - خیابان فیض.,2-37337440-071 ( داخلی  ),http://lib.whc.ir,https://lib.ir/fa/library/479/كتابخانه-مدرسه-علمیه-خواهران-فاطمة-الزهراء-س/search/
کتابخانه مدرسه علمیه خواهران فاطمیه (س) شیراز,فارس,شیراز,شیراز- خیابان قصر الدشت- كوچه63- کنار امامزاده شاه قیس- حوزه فاطمیه (س),07136291725 ( داخلی  ),http://,https://lib.ir/fa/library/679/کتابخانه-مدرسه-علمیه-خواهران-فاطمیه-س-شیراز/search/
کتابخانه موسسه آموزش عالی حوزوی ریحانة النبی (ص) شیراز,فارس,شیراز,شیراز - چهارراه فضیلت - خیابان فیض,37337441-071 ( داخلی  ),http://,https://lib.ir/fa/library/668/کتابخانه-موسسه-آموزش-عالی-حوزوی-ریحانة-النبی-ص-شیراز/search/
