Library Name,Province,City,Address                                                             ,Phone No.,Website
كتابخانه امام رضا  (ع) (آستان قدس رضوی ع),خراسان رضوی,سرخس,سرخس - بلوار سردار سلیمانی – روبروی شرکت برق,34527771-051 ( داخلی  ),https://library.razavi.ir/aqlibraries
كتابخانه عمومی دكتر علی شریعتی,خراسان رضوی,سرخس,سرخس - خیابان امام رضا (ع) - كوچه شماره 15.,34523236-051 ( داخلی  ),http://mashadpl.ir
