name,province,city,address,phone_number,website,url
کتابخانه حوزه علمیه خواهران الزهراء (س) شبستر,آذربایجان شرقی,شبستر,شبستر- میدان معلم- ضلع جنوبی پارك آزادگان-اداره فرهنگ و ارشاد اسلامی-طبقه فوقانی,04142429555 ( داخلی  ),http://,https://lib.ir/fa/library/684/کتابخانه-حوزه-علمیه-خواهران-الزهراء-س-شبستر/search/
كتابخانه عمومی آیت الله سید جواد خامنه ای شبستر,آذربایجان شرقی,شبستر,شبستر- خامنه - خيابان شهيد طهمورثى.,42463533-041 ( داخلی  ),http://tabrizpl.ir,https://lib.ir/fa/library/337/كتابخانه-عمومی-آیت-الله-سید-جواد-خامنه-ای-شبستر/search/
كتابخانه عمومی شندآباد,آذربایجان شرقی,شبستر,شبستر - شند آباد - خیابان شهرداری - كوی ارشاد.,42424296-041 ( داخلی  ),http://,https://lib.ir/fa/library/329/كتابخانه-عمومی-شندآباد/search/
كتابخانه عمومی شیخ محمود شبستری,آذربایجان شرقی,شبستر,شبستر - خیابان گلشن راز، بالاتر از اداره اوقاف .,42427574-041 ( داخلی  ),http://tabrizpl.ir,https://lib.ir/fa/library/328/كتابخانه-عمومی-شیخ-محمود-شبستری/search/
كتابخانه عمومی صوفیان,آذربایجان شرقی,شبستر,صوفيان - خيابان ستارخان - پلاك 26 .,42522010-041 ( داخلی  ),http://libsofian.blogfa.com,https://lib.ir/fa/library/327/كتابخانه-عمومی-صوفیان/search/
