name,province,city,address,phone_number,website,url
كتابخانه امام رضا (ع) (آستان قدس رضوی),خراسان جنوبی,بيرجند,بيرجند - خیابان معلم - میدان مادر - جنب باغ اکبریه,32421325-056 ( داخلی 056-32446820 ),https://library.razavi.ir/aqlibraries,https://lib.ir/fa/library/175/كتابخانه-امام-رضا-ع--آستان-قدس-رضوی/search/
کتابخانه مرکزی و مرکز اطلاع رسانی دانشگاه بیرجند,خراسان جنوبی,بيرجند,بیرجند- انتهای بلوار شهید آوینی- دانشگاه بیرجند,056-32202143  ( داخلی 306 ),http://Lib.birjand.ac.ir,https://lib.ir/fa/library/759/کتابخانه-مرکزی-و-مرکز-اطلاع-رسانی-دانشگاه-بیرجند/search/
کتابخانه مرکزی و مرکز نشر دانشگاه صنعتی بیرجند,خراسان جنوبی,بيرجند,بیرجند، میدان ابن حسام، بلوار صنعت و معدن، دانشگاه صنعتی بیرجند، کتابخانه مرکزی و مرکز نشر دانشگاه صنعتی بیرجند,32391259 056   و 05632391257 ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/505/کتابخانه-مرکزی-و-مرکز-نشر-دانشگاه-صنعتی-بیرجند/search/
