Library Name,Province,City,Address                                                             ,Phone No.,Website
كتابخانه دانشگاه صنعتی اروميه,آذربایجان غربی,اروميه,ارومیه– كیلومتر جاده بند- دانشگاه صنعتی ارومیه.,31980284-044 ( داخلی  ),http://uut.ac.ir
کتابخانه مدرسه علمیه خواهران الزهراء (س) ارومیه,آذربایجان غربی,اروميه,ارومیه- بلوار شهید دستغیب (خیابان مافی)- خیابان مدیریت- جنب دانشگاه الزهرا (س),04432233490 ( داخلی  ),http://
