name,province,city,address,phone_number,website
كتابخانه مدرسه علمیه خواهران شهید مطهری,مازندران,تنكابن,تنكابن - پایین مصلی - خیابان ورزش -مقابل اداره تربیت بدنی.,54230561-011 ( داخلی  ),http://lib.whc.ir
كتابخانه مدرسه علمیه خواهران فاطمة الزهراء (س),مازندران,تنكابن,تنكابن - جنب امامزاده سید حسین (ع) - خیابان شهید بزرگی - كوچه امامزاده قاسم.,54375406-011 ( داخلی  ),http://lib.whc.ir
