name,province,city,address,phone_number,website,url
كتابخانه تخصصی صاحب الزمان (عج) (مسجد جمکران),قم,قم,قم - خیابان فاطمی (دورشهر) - كوچه 28 - پلاك 6.,37732212-025 ( داخلی  ),http://jmcu.ir,https://lib.ir/fa/library/373/كتابخانه-تخصصی-صاحب-الزمان-عج--مسجد-جمکران/search/
کتابخانه تخصصی علوم حدیث,قم,قم,قم مقدسه - خیابان سمیه - 20 متری شهید رجایی - بین کوچه 4و 6 . پلاک 74,37733026-025 ( داخلی  ),http://,https://lib.ir/fa/library/548/کتابخانه-تخصصی-علوم-حدیث/search/
كتابخانه تخصصی علوم و معارف قرآن (دفتر تبليغات اسلامی حوزه علمیه قم),قم,قم,قم مقدسه - ميدان شهداء - ساختمان پژوهشگاه دفتر تبليغات اسلامی حوزه علميه قم - طبقه منفی 1.,371160-025 ( داخلی  ),http://Lib.isca.ac.ir,https://lib.ir/fa/library/107/كتابخانه-تخصصی-علوم-و-معارف-قرآن-دفتر-تبليغات-اسلامی-حوزه-علمیه-قم/search/
کتابخانه تخصصی فقه و اصول,قم,قم,قم مقدسه - بلوار امین - 20 متری گلستان - کوچه 11 - پلاک 4,32914608-32939668-025 ( داخلی  ),http://feghlib.ir,https://lib.ir/fa/library/101/کتابخانه-تخصصی-فقه-و-اصول/search/
کتابخانه تخصصی فقه و اصول مرکز فقهی ائمه اطهار علیهم السلام,قم,قم,قم - میدان معلم - مرکز فقهی ائمه اطهار علیهم السلام - طبقه سوم.,37749494و 37730176 ( داخلی 224 ),http://markazfeqhi.com,https://lib.ir/fa/library/507/کتابخانه-تخصصی-فقه-و-اصول-مرکز-فقهی-ائمه-اطهار-علیهم-السلام/search/
كتابخانه تخصصی لاتين پژوهشگاه علوم و فرهنگ اسلامی (دفتر تبليغات اسلامی حوزه علمیه قم),قم,قم,قم مقدسه - ابتدای خیابان معلم - پژوهشكاه علوم و فرهنگ اسلامی - طبقه اول و منفی 1.,371160-025 ( داخلی 1325 - 1308 ),http://Lib.isca.ac.ir,https://lib.ir/fa/library/196/كتابخانه-تخصصی-لاتين-پژوهشگاه-علوم-و-فرهنگ-اسلامی-دفتر-تبليغات-اسلامی-حوزه-علمیه-قم/search/
کتابخانه تخصصی مجتمع آموزش عالی زبان، ادبیات و فرهنگ شناسی- جامعه المصطفی (ص) العالمیه,قم,قم,بلوار شهیدان شاهرودی، مجتمع آموزش عالی زبان، ادبیات و فرهنگ شناسی,37048313-025 ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/790/کتابخانه-تخصصی-مجتمع-آموزش-عالی-زبان-ادبیات-و-فرهنگ-شناسی-جامعه-المصطفی-ص-العالمیه/search/
کتابخانه تخصصی مذاهب اسلامی,قم,قم,قم مقدسه - بلوار شهید صدوقی - بلوار شهید محمود اخلاقی (بکایی)- پلاک 65.,32935011-025 ( داخلی 24 ),http://www.mazaheb.com,https://lib.ir/fa/library/595/کتابخانه-تخصصی-مذاهب-اسلامی/search/
کتابخانه تخصصی معارف اهل بیت(ع),قم,قم,خیابان شهدا (صفائیه)- کوچه 21- کوچه 3- موسسه معارف اهل¬بیت(ع),33553657-025 ( داخلی 3061 ),http://www.maaref.org,https://lib.ir/fa/library/115/کتابخانه-تخصصی-معارف-اهل-بیت-ع/search/
كتابخانه تخصصی مؤسسه آموزش عالی طلوع مهر,قم,قم,قم مقدسه - خیابان شهید فاطمی - میدان رسالت.,37730080-025 ( داخلی  ),http://tolouemehr.ac.ir,https://lib.ir/fa/library/496/كتابخانه-تخصصی-مؤسسه-آموزش-عالی-طلوع-مهر/search/
كتابخانه تخصصی مؤسسه شیعه شناسی,قم,قم,قم مقدسه - شهرك پردیسان - بلوار دانشگاه - بلوار مولوی - مؤسسه شیعه شناسی.,32804636-025 ( داخلی  ),http://shistu.org,https://lib.ir/fa/library/451/كتابخانه-تخصصی-مؤسسه-شیعه-شناسی/search/
كتابخانه تخصصي و مركز اسناد موسسه آموزش عالي اخلاق و تربيت,قم,قم,قم مقدسه - بلوار شهيد صدوقي(ره)- خيابان شهيد شهبازي – موسسه آموزش عالي اخلاق و تربيت - پلاك 13.,32918444-025 ( داخلی 119 ),http://lib.ueae.ir/simwebclt/WebAccess/SimwebPortal.dll,https://lib.ir/fa/library/502/كتابخانه-تخصصي-و-مركز-اسناد-موسسه-آموزش-عالي-اخلاق-و-تربيت/search/
کتابخانه تخصصی کودکان و نوجوانان مرکز آموزش های کاربردی (دفتر تبلیغات اسلامی حوزه علمیه قم),قم,قم,قم- میدان جانبازان- خیابان شهیدان فاطمی (دورشهر)- کوچه 1 – جنب کلانتری 11 کتابخانه تخصصی کودکان و نوجوانان مرکز آموزشهای کاربردی پلاک 35,31156372-025 ( داخلی  ),http://lib.isca.ac.ir,https://lib.ir/fa/library/118/کتابخانه-تخصصی-کودکان-و-نوجوانان-مرکز-آموزش-های-کاربردی-دفتر-تبلیغات-اسلامی-حوزه-علمیه-قم/search/
کتابخانه جامع امین جامعه المصطفی العالمیه,قم,قم,بلوار امین - سه راه سالاریه مجتمع آموزش عالی امین,025-32133306 ( داخلی 176-306 ),http://dlib.miu.ac.ir,https://lib.ir/fa/library/798/کتابخانه-جامع-امین-جامعه-المصطفی-العالمیه/search/
