name,province,city,address,phone_number,website
كتابخانه عمومی جعفریه,قم,جعفریه,جعفريه - خيابان فرهنگ.,36222177-025 ( داخلی  ),http://qompl.ir
کتابخانه مدرسه علمیه خواهران حضرت معصومه (س) جعفریه,قم,جعفریه,جعفریه- خیابان امام خمینی (ره)- جنب مسجد خاتم الانبیا,02536223444 ( داخلی  ),http://
