name,province,city,address,phone_number,website,url
كتابخانه تخصصی مطبوعات آستان قدس رضوی (ع),خراسان رضوی,مشهد,مشهد مقدس - حرم مطهر رضوى- ضلع شرقي دور برگردان طبرسى- ساختمان بنياد پژوهشهاي اسلامي قدس رضوى- مديريت امور اسناد ومطبوعات- گروه مطبوعات-كتابخانه تخصصی مطبوعات,32232501-051 ( داخلی 356 ),http://aqlibrary.org,https://lib.ir/fa/library/375/كتابخانه-تخصصی-مطبوعات-آستان-قدس-رضوی-ع/search/
كتابخانه تخصصی موزه آستان قدس رضوی (ع),خراسان رضوی,مشهد,مشهد مقدس -  حرم مطهر امام رضا علیه السلام - موزه مركزى.,32224570-051 ( داخلی  ),http://aqm.ir,https://lib.ir/fa/library/167/كتابخانه-تخصصی-موزه-آستان-قدس-رضوی-ع/search/
كتابخانه ثامن الائمه (ع) (آستان قدس رضوی ع),خراسان رضوی,مشهد,مشهد مقدس - بلوار شهيد موسوي قوچاني شمالى - مجتمع مسکونی ثامن الائمه(ع).,37123160-051 ( داخلی  ),http://aqlibrary.org,https://lib.ir/fa/library/168/كتابخانه-ثامن-الائمه-ع--آستان-قدس-رضوی-ع/search/
كتابخانه جامعة المصطفی (ص) العالمیه، واحد مشهد مقدس,خراسان رضوی,مشهد,مشهد مقدس - خیابان امام خمینی (ره)- کوجه شماره 14 - جامعه المصطفی العالمیه.,32233228-051 ( داخلی  ),http://miu.ac.ir,https://lib.ir/fa/library/453/كتابخانه-جامعة-المصطفی-ص-العالمیه-واحد-مشهد-مقدس/search/
كتابخانه جواد الائمه (ع) (آستان قدس رضوی ع),خراسان رضوی,مشهد,مشهد مقدس - بلوار وكيل آباد - بلوارهاشميه - هاشميه31 طبقه زير زمين مسجد جواد الائمه (ع) .,38823638-051 ( داخلی  ),http://aqlibrary.ir,https://lib.ir/fa/library/144/كتابخانه-جواد-الائمه-ع--آستان-قدس-رضوی-ع/search/
كتابخانه حسينيه امام رضا (ع) (آستان قدس رضوی ع),خراسان رضوی,مشهد,مشهد مقدس - میدان شهدا - خیابان شهید هاشمی نژاد 8 جدید  (کوچه ناظر) بن بست  ناظر 1,32218010-051 ( داخلی  ),http://aqlibrary.ir/libraries/lib15.aspx,https://lib.ir/fa/library/152/كتابخانه-حسينيه-امام-رضا-ع--آستان-قدس-رضوی-ع/search/
کتابخانه دانشگاه علوم اسلامی رضوى (ع),خراسان رضوی,مشهد,مشهد مقدس - ضلع شرقی دور برگردان طبرسى - ساختمان دانشگاه علوم اسلامی رضوى.,32218990-051 ( داخلی 359 ),http://razavi.ac.ir/libraryunit.aspx,https://lib.ir/fa/library/106/کتابخانه-دانشگاه-علوم-اسلامی-رضوى-ع/search/
كتابخانه دانشگاه فرهنگیان پردیس شهید بهشتی,خراسان رضوی,مشهد,مشهد مقدس - بلوار شهید كلانتری – حد فاصل میدان جمهوری اسلامی و میدان آزادی - جنب دانشگاه فردوسی مشهد – دانشگاه فرهنگیان پردیس شهید بهشتی.,38783094-051 ( داخلی  ),http://tbm.ir,https://lib.ir/fa/library/234/كتابخانه-دانشگاه-فرهنگیان-پردیس-شهید-بهشتی/search/
کتابخانه زبان روسی آستان قدس رضوی (ع),خراسان رضوی,مشهد,,( داخلی  ),http://,https://lib.ir/fa/library/517/کتابخانه-زبان-روسی-آستان-قدس-رضوی-ع/search/
کتابخانه سیار و تلفنی آستان قدس رضوی (ع),خراسان رضوی,مشهد,بست حرم مطهر رضوی- طبرسی- ساختمان بنیاد پژوهش ها – طبقه منفی 1 اتاق 103,05132236164 ( داخلی 3444 ),http://sayarlib.aqlibraries.ir,https://lib.ir/fa/library/137/کتابخانه-سیار-و-تلفنی-آستان-قدس-رضوی-ع/search/
كتابخانه عمومی باقر العلوم (ع),خراسان رضوی,مشهد,مشهد مقدس- قاسم آباد - بلوار دكتر حسابی - دكتر حسابی34.,36211070-051 ( داخلی  ),http://imbm.ir,https://lib.ir/fa/library/409/كتابخانه-عمومی-باقر-العلوم-ع/search/
كتابخانه عمومی ثارالله (ع),خراسان رضوی,مشهد,مشهد مقدس - بلوار كوثر - كوثر 6 - مسجد ثارالله (ع).,8839199-0511 ( داخلی  ),http://mashadpl.ir,https://lib.ir/fa/library/362/كتابخانه-عمومی-ثارالله-ع/search/
كتابخانه عمومی دكتر شریعتی,خراسان رضوی,مشهد,مشهد مقدس - خیابان امام خمینی ره – جنب اداره كل آموزش و پرورش.,32224640-051 ( داخلی  ),http://mashadpl.ir,https://lib.ir/fa/library/431/كتابخانه-عمومی-دكتر-شریعتی/search/
كتابخانه عمومی رضوی,خراسان رضوی,مشهد,مشهد مقدس - بلوار سرافرازان - بلوار پایداری - جنب مسجد موسی بن جعفر (ع).,38230009-051 ( داخلی  ),http://mashadpl.ir,https://lib.ir/fa/library/353/كتابخانه-عمومی-رضوی/search/
كتابخانه عمومی شهید باهنر,خراسان رضوی,مشهد,مشهد مقدس - بلوار امامت  - داخل پارك ملت - مجتمع فرهنگی امام رضا ( ع ).,36043383-051 ( داخلی  ),http://mashadpl.ir,https://lib.ir/fa/library/422/كتابخانه-عمومی-شهید-باهنر/search/
كتابخانه عمومی شهید مدرس,خراسان رضوی,مشهد,مشهد - بلوار مدرس - نبش مدرس 3 .,32229895-051 ( داخلی  ),http://mashadpl.ir,https://lib.ir/fa/library/428/كتابخانه-عمومی-شهید-مدرس/search/
كتابخانه عمومی شهید مطهری,خراسان رضوی,مشهد,مشهد مقدس - كوی سیدی - خیابان خلج - بوستان شادی.,33851822-051 ( داخلی  ),http://mashadpl.ir,https://lib.ir/fa/library/429/كتابخانه-عمومی-شهید-مطهری/search/
كتابخانه عمومی شهید مفتح,خراسان رضوی,مشهد,مشهد مقدس - بلوار وحدت – پارك وحدت.,33645833-051 ( داخلی  ),http://mashadpl.ir,https://lib.ir/fa/library/349/كتابخانه-عمومی-شهید-مفتح/search/
كتابخانه عمومی طبرسی,خراسان رضوی,مشهد,مشهد مقدس - قاسم آباد – بلوار شهید فلاحی- انتهای بلوار فاطمیه(س).,35219930-051 ( داخلی  ),http://mashadpl.ir,https://lib.ir/fa/library/411/كتابخانه-عمومی-طبرسی/search/
كتابخانه عمومی علامه طباطبایی,خراسان رضوی,مشهد,مشهد مقدس - چهارراه شهدا- خیابان شیرازی-كوچه شهید حسن خوراكیان.,32257070-051 ( داخلی  ),http://mashadpl.ir,https://lib.ir/fa/library/346/كتابخانه-عمومی-علامه-طباطبایی/search/
كتابخانه عمومی فردوسی,خراسان رضوی,مشهد,مشهد مقدس - سه راه محسن كاشانی - داخل پارك كودك.,37253980-051 ( داخلی  ),http://mashadpl.ir,https://lib.ir/fa/library/426/كتابخانه-عمومی-فردوسی/search/
كتابخانه عمومی نواب صفوی,خراسان رضوی,مشهد,مشهدمقدس - بلوار مصلی - نبش مصلی 3 - پارك مصلی.,33647584-051 ( داخلی  ),http://mashadpl.ir,https://lib.ir/fa/library/352/كتابخانه-عمومی-نواب-صفوی/search/
كتابخانه مجتمع فرهنگی امام خمينی (ره) (آستان قدس رضوی ع),خراسان رضوی,مشهد,خیابان خواجه ربیع 23,37411100-051 ( داخلی 37414621 - 051 ),https://library.razavi.ir/aqlibraries,https://lib.ir/fa/library/153/كتابخانه-مجتمع-فرهنگی-امام-خمينی-ره--آستان-قدس-رضوی-ع/search/
