name,province,city,address,phone_number,website
کتابخانه حوزه علمیه فیضیه مازندران,مازندران,بابل,بابل _ میدان شهید بزاز ـ کیلومتر سه جاده کیاکلا ـ روستای سلطان محمد طاهر ـ حوزه علمیه فیضیه مازندران.,32072647-011 ( داخلی  ),http://faiz432.ir
كتابخانه دانشگاه علوم پزشكی بابل,مازندران,بابل,بابل - خیابان گنج افروز - دانشگاه علوم پزشكی - كتابخانه مركزی.,32224152-011 ( داخلی  ),http://mvbabol.ac.ir
کتابخانه مدرسه علمیه خواهران الزهراء (س) بابل,مازندران,بابل,بابل- خیابان مدرس- خیابان هجدهم- كوچه شهید رسولی24 (ضرابپوری)- جنب بنیاد علمی مدیری,01132360076 ( داخلی  ),http://
کتابخانه مدرسه علمیه عصمتیه بابل,مازندران,بابل,بابل- خیابان امام خمینی(ره)- چهارسوق- پشت مسجد كاظم بیك- محله باقرناظر- فاضل استرآبادی6- مقابل تكیه,01132295097 ( داخلی  ),http://
