name,province,city,address,phone_number,website,url
كتابخانه امام صادق (ع) (حوزه علميه),قزوین,قزوين,قزوين - خيابان پيغمبريه - كوچه شهيد حاج سيد جوادي (پنجه علي).,33236732-028 ( داخلی  ),http://is-lib.ir,https://lib.ir/fa/library/191/كتابخانه-امام-صادق-ع--حوزه-علميه/search/
كتابخانه مركزی امور تربيتي قزوين,قزوین,قزوين,قزوین - خیابان آیت الله طالقانی - خیابان دارایی - ساختمان شهید چگینی - جنب دارالقرآن عترت.,33222314-028 ( داخلی  ),http://,https://lib.ir/fa/library/283/كتابخانه-مركزی-امور-تربيتي-قزوين/search/
كتابخانه مركزی دانشگاه بين المللی امام خمينی (ره) قزوين,قزوین,قزوين,قزوين - بلوار دانشگاه - دانشگاه بين المللي امام خمينى (ره)- ساختمان كتابخانه مركزى.,33780050-028 ( داخلی  ),http://ikiu.ac.ir/farsi/research/library,https://lib.ir/fa/library/221/كتابخانه-مركزی-دانشگاه-بين-المللی-امام-خمينی-ره-قزوين/search/
