Library Name,Province,City,Address                                                             ,Phone No.,Website
كتابخانه عمومی هادی شهر,آذربایجان شرقی,هادي شهر,هادیشهر - خیابان امام خمینی (ره)- خیابان ولایت فقیه - جنب ثبت احوال.,42042309-041 ( داخلی  ),http://tabrizpl.ir
کتابخانه مدرسه علمیه خواهران فاطمیه (س) هادیشهر,آذربایجان شرقی,هادي شهر,جلفا- ابتدای بلوار رسالت- خیابان شهید تیمسار فلاحی,04142014740 ( داخلی  ),http://
