Library Name,Province,City,Address                                                             ,Phone No.,Website
كتابخانه عمومی حكیم نباتی كلیبر,آذربایجان شرقی,كليبر,كلیبر - جاده مغان به كليبر - روبروي اداره راه و ترابرى.,44443728-041 ( داخلی  ),http://tabrizpl.ir
كتابخانه عمومی خدافرین,آذربایجان شرقی,كليبر,كلیبر - بخش خداافرین - خمارلو - خیابان شهید مطهری.,44442500-041 ( داخلی  ),http://tabrizpl.ir
