name,province,city,address,phone_number,website
كتابخانه آيت ‌الله شهيد مدرس (ره) (آستان قدس رضوی ع),خراسان رضوی,كاشمر,كاشمر - بلوار شاهد - زيارتگاه شهيد مدرس (ره).,15-55245614-051 ( داخلی  ),http://aqlibrary.org/libraries/lib19.aspx
كتابخانه عمومی امام خمینی (ره),خراسان رضوی,كاشمر,كاشمر - بلوار جمهوری اسلامی – مجتمع سرو.,55252220-051 ( داخلی  ),http://Mashadpl.ir
كتابخانه عمومی شهید مدرس (ره),خراسان رضوی,كاشمر,كاشمر - خیابان امام خمینی (ره) – جنب پردیس شهید عسكری.,55228711-051 ( داخلی  ),http://Mashadpl.ir
