name,province,city,address,phone_number,website,url
كتابخانه جواد الائمه (ع) (آستان قدس رضوی ع),کرمان,رفسنجان,رفسنجان - ميدان خاتم‌الانبياء (ص) - مجتمع فرهنگي حضرت جوادالائمه (ع).,8-34331104-34356680 034-034 ( داخلی  ),http://aqlibrary.org,https://lib.ir/fa/library/177/كتابخانه-جواد-الائمه-ع--آستان-قدس-رضوی-ع/search/
کتابخانه مدرسه علمیه خواهران حضرت فاطمه (س) رفسنجان,کرمان,رفسنجان,رفسنجان- خیابان شهید مطهری- کوچه 17- خیابان شهید وجدانی- روبروی آهن فروشی مقصودی,03434325561 ( داخلی  ),http://,https://lib.ir/fa/library/712/کتابخانه-مدرسه-علمیه-خواهران-حضرت-فاطمه-س-رفسنجان/search/
کتابخانه مدرسه علمیه خواهران زینب کبری (س) رفسنجان,کرمان,رفسنجان,رفسنجان- خیابان شهدا 4 - کوچه مسجد جامع,03434257400 ( داخلی  ),http://,https://lib.ir/fa/library/711/کتابخانه-مدرسه-علمیه-خواهران-زینب-کبری-س-رفسنجان/search/
كتابخانه مرتضوى (آستان قدس رضوی ع),کرمان,رفسنجان,رفسنجان - بلوار آیت الله طالقاني - چهارراه اميركبير.,34259751-034 ( داخلی  ),http://aqlibrary.org/libraries/lib30.aspx,https://lib.ir/fa/library/165/كتابخانه-مرتضوى-آستان-قدس-رضوی-ع/search/
کتابخانه مرکزی و مرکز اسناد شهید مطهری دانشگاه ولی عصر(عج),کرمان,رفسنجان,رفسنجان - میدان 22 بهمن - ابتدای جاده یزد - دانشگاه ولی عصر(عج),20-31312512-034 ( داخلی  ),http://Library.vru.ac.ir,https://lib.ir/fa/library/767/کتابخانه-مرکزی-و-مرکز-اسناد-شهید-مطهری-دانشگاه-ولی-عصر-عج/search/
