name,province,city,address,phone_number,website,url
كتابخانه آیت الله جلیلی (آستان قدس رضوی ع),کرمانشاه,كرمانشاه,كرمانشاه - میدان جلیلی روبروی بانک ملی کتابخانه آیت الله جلیلی,38249509-083 ( داخلی  ),http://,https://lib.ir/fa/library/159/كتابخانه-آیت-الله-جلیلی-آستان-قدس-رضوی-ع/search/
کتابخانه مدرسه علمیه خواهران امام خامنه ای کرمانشاه,کرمانشاه,كرمانشاه,کرمانشاه- ۲۲بهمن- سی متری دوم- کوی تعزیرات- کوچه23,08338395843 ( داخلی  ),http://,https://lib.ir/fa/library/674/کتابخانه-مدرسه-علمیه-خواهران-امام-خامنه-ای-کرمانشاه/search/
كتابخانه مدرسه علمیه خواهران امام خمینی (ره),کرمانشاه,كرمانشاه,كرمانشاه - میدان گلستان - جنب درمانگاه حاج دایی - بلوار گل سرخ - پلاك 51.,6-38383785-083 ( داخلی  ),http://lib.whc.ir,https://lib.ir/fa/library/483/كتابخانه-مدرسه-علمیه-خواهران-امام-خمینی-ره/search/
كتابخانه مركزی و مركز اسناد شهيد مطهری دانشگاه رازى,کرمانشاه,كرمانشاه,كرمانشاه - باغ ابريشم - دانشگاه رازي - كتاب رازى.,34274531-083 ( داخلی  ),http://razi.ac.ir,https://lib.ir/fa/library/272/كتابخانه-مركزی-و-مركز-اسناد-شهيد-مطهری-دانشگاه-رازى/search/
