name,province,city,address,phone_number,website,url
كتابخانه دانشگاه فرهنگیان پردیس علامه طباطبایی,لرستان,خرم آباد,خرم آباد - خیابان انقلاب اسلامی - انتهای خیابان جلال آل احمد - دانشگاه فرهنگیان.,33239578-066 ( داخلی  ),http://dfl-ac.ir,https://lib.ir/fa/library/494/كتابخانه-دانشگاه-فرهنگیان-پردیس-علامه-طباطبایی/search/
كتابخانه عمومی استاد شهید مطهری (ره),لرستان,خرم آباد,خرم آباد- خیابان باستان - مقابل زورخانه.,33301789-066 ( داخلی  ),http://lorestanpl.ir,https://lib.ir/fa/library/258/كتابخانه-عمومی-استاد-شهید-مطهری-ره/search/
كتابخانه عمومی حضرت مهدی (عج),لرستان,خرم آباد,خرم آباد - گلدشت شرقی - خیابان فردوسی - كتابخانه حضرت مهدی(عج).,33421317-066 ( داخلی  ),http://lorestanpl.ir,https://lib.ir/fa/library/247/كتابخانه-عمومی-حضرت-مهدی-عج/search/
كتابخانه عمومی غدیر,لرستان,خرم آباد,خرم آباد - میدان 22 بهمن(كیو) - مجتمع فرهنگی هنری اداره ارشاد اسلامی.,33239608-066 ( داخلی  ),http://libghadir.persianblog.ir,https://lib.ir/fa/library/257/كتابخانه-عمومی-غدیر/search/
كتابخانه عمومی هفده شهریور,لرستان,خرم آباد,خرم آباد - پارك شهر - روبروي مخابرات.,33302421-066 ( داخلی  ),http://lorestanpl.ir,https://lib.ir/fa/library/299/كتابخانه-عمومی-هفده-شهریور/search/
