name,province,city,address,phone_number,website,url
کتابخانه حوزه علمیه امام صادق علیه السلام,البرز,كرج,کرج - بلوار امامزاده حسن (ع) - مصلای نمازجمعه - خیابان شهید نصرتی - جنب فرهنگسرا - حوزه علمیه امام صادق (علیه السلام),32216516-026 ( داخلی  ),http://howzeh-karaj.ir,https://lib.ir/fa/library/631/کتابخانه-حوزه-علمیه-امام-صادق-علیه-السلام/search/
كتابخانه مدرسه علمیه خواهران بقیع,البرز,كرج,كرج - چهلو پنج متری گلشهر - خیابان ارغوان غربی - پلاك52.,33514903-026 ( داخلی  ),http://baghi-karaj.womenhc.com,https://lib.ir/fa/library/350/كتابخانه-مدرسه-علمیه-خواهران-بقیع/search/
کتابخانه مدرسه علمیه خواهران زینبیه (س) کرج,البرز,كرج,كرج- خیابان كمربندی- چهارراه مصباح- خیابان شهید نجاری,02632706128 ( داخلی  ),http://,https://lib.ir/fa/library/737/کتابخانه-مدرسه-علمیه-خواهران-زینبیه-س-کرج/search/
كتابخانه مدرسه علمیه خواهران فاطمه الزهراء (س),البرز,كرج,کرج - فاز ۴ مهرشهر - بلوارگلها - خیابان ۴۰۵ شرقی - مدرسه علمیه فاطمه الزهرا(س).,33554101-026 ( داخلی  ),http://,https://lib.ir/fa/library/345/كتابخانه-مدرسه-علمیه-خواهران-فاطمه-الزهراء-س/search/
كتابخانه مدرسه علمیه خواهران فاطمیه (س),البرز,كرج,كرج - میدان امام(ره) - خیابان چالوس - مسجد جامع - مدرسه علمیه فاطمیه(س).,32230492-026 ( داخلی  ),http://whc.net,https://lib.ir/fa/library/355/كتابخانه-مدرسه-علمیه-خواهران-فاطمیه-س/search/
