Library Name,Province,City,Address                                                             ,Phone No.,Website
كتابخانه عمومی اسكو,آذربایجان شرقی,اسكو,اسكو - فلكه امام خميني (ره).,33222027-041 ( داخلی  ),http://tabrizpl.ir
كتابخانه عمومی شهید مطهری اسكو,آذربایجان شرقی,اسكو,اسكو - خيابان امام خميني (ره) - جنب شهرداري - پارك رضوان.,33226373-041 ( داخلی  ),http://tabrizpl.ir
