Library Name,Province,City,Address                                                             ,Phone No.,Website
كتابخانه امام رضا (ع)  (آستان قدس رضوی ع),یزد,طبس,طبس - روستاي محمدآباد - كتابخانه حضرت امام رضا عليه السلام.,32867316-056 ( داخلی  ),http://
كتابخانه حسين بن موسی الكاظم (ع) (آستان قدس رضوی ع),یزد,طبس,طبس - آستان مبارك حسين بن موسي الكاظم (ع).,3-32822200-056 ( داخلی  ),http://aqlibrary.org
