name,province,city,address,phone_number,website
كتابخانه آیت الله العظمی آخوند ملا علی همدانی (ره),همدان,همدان,همدان _ خیابان شهداء  _ كوچه آخوند,32517051-081 ( داخلی  ),http://
كتابخانه مدرسه علمیه خواهران الزهراء (س),همدان,همدان,همدان - خیابان شهدا- كوچه مرحوم آخوند - روبروی مدرسه علمیه آخوند - حوزه علمیه الزهرا(س).,32525668-081 ( داخلی  ),http://alzahra-hamedan.womenhc.com
کتابخانه مرکزی دانشگاه صنعتی همدان,همدان,همدان,همدان - خیابان شهیید فهمیده - خیابان مردم- دانشگاه صنعتی همدان,38411100-081 ( داخلی 103-104 ),http://hut.ac.ir/?fkeyid=&siteid=1&pageid=162
