Library Name,Province,City,Address                                                             ,Phone No.,Website
کتابخانه حوزه علمیه فاطمة الزهرا (س) ورزنه,اصفهان,ورزنه,ورزنه- بلوار شهید بهشتی- چهارراه آیت الله فاضل(ره)- جنب مسجد حاج عزیز الله,03146485390 ( داخلی  ),http://
كتابخانه عمومی ورزنه,اصفهان,ورزنه,ورزنه - خیابان شهید دكتر بهشتی - جنب قرض الحسنه سجاد.,36482219-031 ( داخلی  ),http://isfahanpl.ir
